trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.08, 'e': 0.99}",30,0,-216.69574322696994,"{0: 12, 1: 5, 2: 9, 3: 2, 4: 2}",0
2,False,"{'a': 0.08, 'e': 0.9801}",25,13,-23.19226764935072,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.08, 'e': 0.970299}",20,0,-116.15641599217003,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.08, 'e': 0.9605960100000001}",25,10,-57.74353730149512,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.08, 'e': 0.9509900499}",20,0,-59.98132740699879,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.08, 'e': 0.941480149401}",25,0,-145.63413853037838,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.08, 'e': 0.93206534790699}",20,0,-232.4980901428102,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.08, 'e': 0.9227446944279202}",20,0,-80.15964513426464,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.08, 'e': 0.9135172474836409}",20,0,-51.43189502923506,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.08, 'e': 0.9043820750088045}",20,0,-117.61502725661589,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.08, 'e': 0.8953382542587165}",25,0,-51.183710222622395,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.08, 'e': 0.8863848717161293}",20,0,-71.46119946978361,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.08, 'e': 0.8775210229989681}",30,0,-154.11208872892527,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.08, 'e': 0.8687458127689783}",20,0,-169.1753560305214,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.08, 'e': 0.8600583546412885}",30,3,-170.39077893609326,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 2}",1
16,False,"{'a': 0.08, 'e': 0.8514577710948756}",30,17,-23.2046766726451,"{0: 7, 1: 5, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.08, 'e': 0.8429431933839269}",25,14,-11.865581593916632,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.08, 'e': 0.8345137614500876}",20,0,-123.66178421281487,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.08, 'e': 0.8261686238355868}",25,0,-106.10242160280788,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.08, 'e': 0.8179069375972309}",20,1,-113.71574763783909,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
21,False,"{'a': 0.08, 'e': 0.8097278682212585}",25,0,-76.79647840269656,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
22,False,"{'a': 0.08, 'e': 0.801630589539046}",25,13,-16.46967422166189,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.08, 'e': 0.7936142836436555}",25,5,-86.41520856480787,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",1
24,False,"{'a': 0.08, 'e': 0.785678140807219}",20,0,-75.30561843364367,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.08, 'e': 0.7778213593991468}",30,0,-141.09309120219896,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
26,False,"{'a': 0.08, 'e': 0.7700431458051553}",20,12,-43.725561026010695,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.08, 'e': 0.7623427143471038}",20,0,-64.67345537698203,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.08, 'e': 0.7547192872036327}",20,0,-47.839352435162226,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.08, 'e': 0.7471720943315964}",20,0,-80.5922309065805,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.08, 'e': 0.7397003733882804}",20,3,-73.10047405762414,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.08, 'e': 0.7323033696543976}",25,0,-175.48171383224445,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.08, 'e': 0.7249803359578536}",20,2,-70.08115503652098,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 0}",1
33,False,"{'a': 0.08, 'e': 0.717730532598275}",20,2,-9.34327801438845,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.08, 'e': 0.7105532272722923}",35,0,-73.26321358858675,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.08, 'e': 0.7034476949995694}",20,0,-122.60278020141064,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
36,False,"{'a': 0.08, 'e': 0.6964132180495737}",20,0,-56.58621991281874,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.08, 'e': 0.6894490858690779}",25,4,-80.75108240442705,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
38,False,"{'a': 0.08, 'e': 0.6825545950103872}",25,10,-103.8110541728754,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 1}",1
39,False,"{'a': 0.08, 'e': 0.6757290490602833}",20,5,-51.44492509793732,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.08, 'e': 0.6689717585696805}",25,0,-78.99090491654347,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
41,False,"{'a': 0.08, 'e': 0.6622820409839837}",20,0,-14.950869509135668,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.08, 'e': 0.6556592205741438}",20,0,-94.69801545484607,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.08, 'e': 0.6491026283684024}",20,0,-10.42577937806021,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.08, 'e': 0.6426116020847183}",20,7,-89.77780824071709,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.08, 'e': 0.6361854860638712}",20,0,-34.75551914396827,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.08, 'e': 0.6298236312032325}",25,0,-96.48047604393312,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
47,False,"{'a': 0.08, 'e': 0.6235253948912002}",25,0,-21.232766972217277,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.08, 'e': 0.6172901409422882}",25,8,-49.5987880580103,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
49,False,"{'a': 0.08, 'e': 0.6111172395328653}",25,0,-87.34809123622348,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
50,False,"{'a': 0.08, 'e': 0.6050060671375367}",20,0,-82.47468698547212,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
51,False,"{'a': 0.08, 'e': 0.5989560064661613}",25,0,-105.61952585275556,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.08, 'e': 0.5929664464014998}",20,0,-98.35882029815119,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.08, 'e': 0.5870367819374848}",30,0,-45.836263206504334,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
54,False,"{'a': 0.08, 'e': 0.5811664141181099}",25,0,-34.978936916711916,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.08, 'e': 0.5753547499769288}",20,9,-55.8205164582307,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.08, 'e': 0.5696012024771595}",20,0,-210.55378426673843,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
57,False,"{'a': 0.08, 'e': 0.563905190452388}",20,0,-132.9270936350609,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.08, 'e': 0.5582661385478641}",20,11,8.58448995013816,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.08, 'e': 0.5526834771623854}",25,9,-34.14193590654285,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.08, 'e': 0.5471566423907616}",20,3,-12.648387457169516,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.08, 'e': 0.5416850759668539}",20,0,10.56268452128438,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.08, 'e': 0.5362682252071853}",30,13,-30.608389630077184,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
63,False,"{'a': 0.08, 'e': 0.5309055429551135}",20,0,-104.76968209494652,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.08, 'e': 0.5255964875255623}",20,15,-13.124390738387351,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.08, 'e': 0.5203405226503067}",25,13,-16.289768365969117,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.08, 'e': 0.5151371174238036}",30,14,-66.96346920729044,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
67,False,"{'a': 0.08, 'e': 0.5099857462495656}",30,8,-31.574514813513545,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.08, 'e': 0.50488588878707}",20,1,-19.763633211687008,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.08, 'e': 0.49983702989919926}",20,0,-39.870936792383276,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
