trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.4840405017897,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.8186289655843,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-270.80642458999375,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.19678543000052,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,19,9.677647936355775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.023449801943116,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.46275856947922,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.29459168180141,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.33060734507598,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.13709558839093,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.15956676039468,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.7210679222855,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.93164131775308,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.74624558857377,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.7767836390743,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-98.61498273195079,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.15500648001438,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-181.741126306898,"{0: 19, 1: 5, 2: 6, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.6963382539326,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.22306570524526,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.03671373840726,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.96099260999388,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.1874983535284,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.082514735302475,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.88000407260763,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.37946182641,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-176.8124545361521,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.194789416422,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-251.05980997257947,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.38161072126822,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
